Date,EUR Curncy,DXY Curncy,GOLDS Comdty,USGG2YR Index,USGG5YR Index,USGG10YR Index,USGG30YR Index,GTEUR10Y Govt,GTEUR30Y Govt,CPI YOY Index,EACPI Index,FEDL01 Index,ECBRON Index,GDP CYOY Index,EHGDEUY Index,GOLDS Comdty,SPX Index,SX5E Index,UKX Index,CAC Index,DAX Index,Return
2/9/1996,1.3045,86.87,405.8,4.873,5.232,5.66,6.098,6.101,6.93,2.7,70.97,5.17,2.14,2.2,2.5,405.8,656.37,1583.29,3716.3,1960.65,2411.93,0.002223074
2/12/1996,1.3074,86.78,401.4,4.822,5.16,5.592,6.034,6.12,6.958,2.7,70.97,5.12,2.14,2.2,2.5,401.4,661.45,1589.01,3726.6,1967.67,2428.05,-0.002906532
2/13/1996,1.3036,86.73,403.6,4.788,5.131,5.576,6.03,6.077,6.898,2.7,70.97,4.93,2.14,2.2,2.5,403.6,660.51,1599.64,3747.6,1983.33,2433.91,0.003682111
2/14/1996,1.3084,86.43,404.4,4.821,5.163,5.635,6.089,6.116,6.942,2.7,70.97,4.92,2.14,2.2,2.5,404.4,655.58,1593.17,3745,1956.38,2427.07,-0.002063589
2/15/1996,1.3057,86.45,404,4.872,5.239,5.699,6.167,6.142,6.969,2.7,70.97,5.36,2.14,2.2,2.5,404,651.32,1587.69,3779.8,1964.21,2423.01,0.006433331
2/16/1996,1.3141,85.91,404.8,4.922,5.297,5.779,6.243,6.166,6.986,2.7,70.97,5.13,2.14,2.2,2.5,404.8,647.98,1586.81,3770.9,1952.5,2429.02,0.010349288
2/19/1996,1.3277,85.51,405.85,4.913,5.297,5.772,6.239,6.327,7.158,2.7,70.97,5.13,2.14,2.2,2.5,405.85,647.98,1572.32,3744.3,1939.74,2398.58,-0.006628003
2/20/1996,1.3189,85.71,399.4,5.169,5.524,5.984,6.395,6.369,7.201,2.7,70.97,5.2,2.14,2.2,2.5,399.4,640.65,1556.36,3714.6,1932.36,2382.61,0.00295701
2/21/1996,1.3228,85.66,402.5,5.169,5.527,5.965,6.371,6.377,7.169,2.7,70.97,5.1,2.14,2.2,2.5,402.5,648.1,1563.72,3725.6,1936.9,2391.12,0.000226792
2/22/1996,1.3231,85.53,399.85,5.075,5.447,5.903,6.343,6.316,7.131,2.7,70.97,5.15,2.14,2.2,2.5,399.85,658.86,1579.31,3740,1953.26,2412,0.001889502
2/23/1996,1.3256,85.43,398.5,5.127,5.509,5.959,6.405,6.287,7.093,2.7,70.97,5.14,2.14,2.2,2.5,398.5,659.08,1594.36,3740.3,1976.89,2451.78,0.002112251
2/26/1996,1.3284,85.41,400,5.153,5.554,6.019,6.454,6.394,7.218,2.7,70.97,5.19,2.14,2.2,2.5,400,650.46,1581.35,3704.2,1960.93,2442.34,-0.002258356
2/27/1996,1.3254,85.38,399.5,5.266,5.635,6.068,6.476,6.447,7.259,2.7,70.97,5.2,2.14,2.2,2.5,399.5,647.24,1577.78,3715.9,1974.52,2444.92,-0.004526935
2/28/1996,1.3194,85.98,400.8,5.367,5.676,6.088,6.473,6.375,7.201,2.7,70.97,6.18,2.14,2.2,2.5,400.8,644.75,1593.88,3738.2,1996.89,2472.5,-0.005381234
2/29/1996,1.3123,86.31,400.75,5.426,5.731,6.098,6.469,6.388,7.231,2.7,71.29,6.05,2.09,2.2,2.5,400.75,640.43,1595.64,3727.6,1990.77,2473.55,-0.004038711
3/1/1996,1.307,86.49,398.9,5.25,5.578,5.959,6.367,6.32,7.153,2.7,71.29,5.81,2.09,2.2,2.5,398.9,644.37,1609.59,3752.7,2017.19,2501.22,0.000153022
3/4/1996,1.3072,86.45,393.95,5.183,5.513,5.901,6.333,6.28,7.093,2.7,71.29,5.33,2.09,2.2,2.5,393.95,650.81,1604.76,3768.6,2015.31,2487.99,-0.001070991
3/5/1996,1.3058,86.34,393.25,5.259,5.581,5.946,6.382,6.327,7.152,2.7,71.29,5.13,2.09,2.2,2.5,393.25,655.79,1593.18,3777.1,2001.94,2479.03,0.00160821
3/6/1996,1.3079,86.46,393.35,5.352,5.68,6.051,6.453,6.326,7.115,2.7,71.29,5.08,2.09,2.2,2.5,393.35,652,1592.6,3758.9,2005.89,2466.04,-0.00145271
3/7/1996,1.306,86.37,395.45,5.377,5.709,6.071,6.459,6.36,7.168,2.7,71.29,5.21,2.09,2.2,2.5,395.45,653.65,1599.87,3758.2,2008.03,2480.94,-0.003675345
3/8/1996,1.3012,86.81,397.1,5.736,6.06,6.407,6.711,6.487,7.286,2.7,71.29,5.16,2.09,2.2,2.5,397.1,633.5,1585.61,3710.3,1975.46,2469.12,0.000922226
3/11/1996,1.3024,86.59,395.55,5.694,6.008,6.329,6.636,6.582,7.306,2.7,71.29,5.25,2.09,2.2,2.5,395.55,640.02,1563.31,3674.5,1948.89,2407.79,0.001689189
3/12/1996,1.3046,86.36,396.6,5.737,6.03,6.356,6.665,6.553,7.352,2.7,71.29,5.25,2.09,2.2,2.5,396.6,637.09,1566.72,3639.5,1932.07,2435.97,0.00498237
3/13/1996,1.3111,86.24,396.95,5.747,6.042,6.358,6.68,6.519,7.334,2.7,71.29,5.49,2.09,2.2,2.5,396.95,638.55,1568.97,3640.3,1944.3,2426.38,-0.000915262
3/14/1996,1.3099,86.28,395.5,5.721,6.042,6.352,6.689,6.511,7.289,2.7,71.29,5.56,2.09,2.2,2.5,395.5,640.87,1576.33,3681.8,1962.41,2426.49,-0.00313001
3/15/1996,1.3058,86.28,396.2,5.871,6.177,6.453,6.739,6.544,7.299,2.7,71.29,5.42,2.09,2.2,2.5,396.2,641.43,1578.08,3644.8,1950.12,2458.23,0.001837954
3/18/1996,1.3082,86.34,395.6,5.854,6.151,6.419,6.705,6.574,7.291,2.7,71.29,5.27,2.09,2.2,2.5,395.6,652.65,1589.2,3669.6,1965.02,2463.16,-0.000152882
3/19/1996,1.308,86.18,395.25,5.846,6.151,6.415,6.715,6.56,7.288,2.7,71.29,5.2,2.09,2.2,2.5,395.25,651.69,1601.27,3693,1967.2,2493.26,-0.000840979
3/20/1996,1.3069,86.19,396.05,5.708,6.013,6.302,6.634,6.481,7.235,2.7,71.29,5.21,2.09,2.2,2.5,396.05,649.98,1600.39,3685.4,1969.79,2485.9,0.000229551
3/21/1996,1.3072,86.51,398,5.709,6.009,6.284,6.62,6.458,7.218,2.7,71.29,5.21,2.09,2.2,2.5,398,649.19,1603.15,3698.3,1976.89,2504.12,0
3/22/1996,1.3072,86.47,398.35,5.746,6.058,6.329,6.655,6.483,7.242,2.7,71.29,5.17,2.09,2.2,2.5,398.35,650.62,1604.06,3707,1974.35,2504.02,-0.000535496
3/25/1996,1.3065,86.45,398.85,5.669,5.972,6.238,6.58,6.404,7.161,2.7,71.29,5.29,2.09,2.2,2.5,398.85,650.04,1606.1,3681.9,2003.83,2510.32,0.000153081
3/26/1996,1.3067,86.55,400.25,5.695,5.991,6.236,6.579,6.424,7.155,2.7,71.29,5.23,2.09,2.2,2.5,400.25,652.97,1602.44,3660.9,2007.95,2499.32,-0.006657993
3/27/1996,1.298,86.79,400.25,5.819,6.112,6.336,6.679,6.406,7.143,2.7,71.29,5.29,2.09,2.2,2.5,400.25,648.91,1611.44,3672.4,2030.51,2525.42,0.005392912
3/28/1996,1.305,86.32,396.6,5.855,6.184,6.398,6.723,6.457,7.207,2.7,71.29,5.31,2.09,2.2,2.5,396.6,648.94,1604.96,3672.6,2019.97,2508.44,0.001685824
3/29/1996,1.3072,86.52,395.45,5.761,6.086,6.327,6.667,6.438,7.185,2.7,71.29,5.25,2.09,2.2,2.5,395.45,645.5,1612.24,3699.7,2044.77,2485.87,-0.003365973
4/1/1996,1.3028,86.71,394.9,5.726,6.045,6.281,6.631,6.383,7.126,2.8,71.54,5.53,2.1,2.6,2.5,394.9,653.73,1619.33,3718.4,2055.63,2489.09,0.000921093
4/2/1996,1.304,86.68,393.95,5.709,5.988,6.224,6.597,6.35,7.088,2.8,71.54,5.29,2.1,2.6,2.5,393.95,655.26,1620.88,3728.5,2070.41,2501.22,0.002070552
4/3/1996,1.3067,86.52,394.25,5.763,6.034,6.257,6.625,6.377,7.115,2.8,71.54,5.25,2.1,2.6,2.5,394.25,655.88,1622.79,3725.1,2064,2494.4,-0.000382643
4/4/1996,1.3062,86.46,395.05,5.827,6.125,6.346,6.67,6.39,7.137,2.8,71.54,5.25,2.1,2.6,2.5,395.05,655.86,1627.37,3755.6,2074.96,2495.18,0
4/5/1996,1.3062,86.61,393.55,6.061,6.381,6.551,6.824,6.39,7.137,2.8,71.54,4.89,2.1,2.6,2.5,393.55,655.86,1625.74,3755.6,2074.96,2495.18,0
4/8/1996,1.3062,86.55,397.95,6.09,6.412,6.604,6.87,6.39,7.137,2.8,71.54,5.14,2.1,2.6,2.5,397.95,644.24,1626.08,3755.6,2074.96,2495.18,-0.007579237
4/9/1996,1.2963,87.29,394.5,5.998,6.347,6.544,6.832,6.458,7.195,2.8,71.54,5.07,2.1,2.6,2.5,394.5,642.19,1627.77,3758.6,2081.71,2503.26,-0.003317133
4/10/1996,1.292,87.33,395.25,6.118,6.48,6.663,6.947,6.433,7.173,2.8,71.54,5.46,2.1,2.6,2.5,395.25,633.5,1644.85,3767.4,2093.94,2530.02,-0.000928793
4/11/1996,1.2908,87.45,395.45,6.109,6.491,6.666,6.935,6.503,7.248,2.8,71.54,5.33,2.1,2.6,2.5,395.45,631.18,1633.45,3744.2,2072.52,2509.71,-0.001781841
4/12/1996,1.2885,87.53,394.55,5.938,6.29,6.5,6.802,6.463,7.212,2.8,71.54,5.22,2.1,2.6,2.5,394.55,636.71,1632.71,3766.8,2074.74,2511.78,-0.003492433
4/15/1996,1.284,87.9,393.35,5.894,6.253,6.464,6.79,6.45,7.195,2.8,71.54,5.33,2.1,2.6,2.5,393.35,642.49,1647.87,3790.5,2080.56,2545.94,0.000311526
4/16/1996,1.2844,87.77,391.45,5.919,6.286,6.482,6.792,6.415,7.149,2.8,71.54,5.17,2.1,2.6,2.5,391.45,645,1651.56,3825.3,2097.34,2538.38,0.000856431
4/17/1996,1.2855,87.67,391.15,5.971,6.338,6.523,6.806,6.451,7.176,2.8,71.54,5.17,2.1,2.6,2.5,391.15,641.61,1639.99,3805.6,2075.12,2524.18,-0.001633606
4/18/1996,1.2834,87.24,390.45,5.988,6.372,6.557,6.829,6.448,7.182,2.8,71.54,5.19,2.1,2.6,2.5,390.45,643.61,1645.28,3820.7,2085.96,2535.52,0.003038803
4/19/1996,1.2873,87.48,390.73,5.909,6.319,6.517,6.786,6.378,7.119,2.8,71.54,5.1,2.1,2.6,2.5,390.73,645.07,1651.43,3857.1,2092.45,2536.52,-0.002951915
4/22/1996,1.2835,87.64,391.65,5.909,6.282,6.483,6.75,6.333,7.073,2.8,71.54,5.23,2.1,2.6,2.5,391.65,647.89,1666.3,3852.7,2116.54,2545.91,-0.001246591
4/23/1996,1.2819,87.7,391.3,5.917,6.3,6.515,6.779,6.33,7.075,2.8,71.54,5.38,2.1,2.6,2.5,391.3,651.58,1665.07,3833,2111.98,2550.18,-0.002028239
4/24/1996,1.2793,87.72,390.75,5.985,6.36,6.584,6.822,6.341,7.082,2.8,71.54,5.57,2.1,2.6,2.5,390.75,650.17,1666.47,3817.6,2122.1,2538.26,-0.004221058
4/25/1996,1.2739,88.23,393.35,5.943,6.287,6.531,6.795,6.356,7.099,2.8,71.54,5.34,2.1,2.6,2.5,393.35,652.87,1670.37,3819.3,2116.35,2532.41,0
4/26/1996,1.2739,87.9,390.4,5.926,6.28,6.525,6.789,6.331,7.074,2.8,71.54,5.21,2.1,2.6,2.5,390.4,653.46,1674.5,3832.8,2138.36,2537.17,0.003846456
4/29/1996,1.2788,87.82,390.55,5.985,6.354,6.598,6.836,6.31,7.08,2.8,71.54,5.25,2.1,2.6,2.5,390.55,654.16,1669.09,3809.2,2130.78,2506.46,-0.008132624
4/30/1996,1.2684,88.02,391.65,6.052,6.413,6.67,6.906,6.339,7.102,2.9,71.66,5.5,2.1,2.6,2.5,391.65,654.17,1671.13,3817.9,2146.79,2505.25,0.000867234
5/1/1996,1.2695,88.33,393.05,6.002,6.383,6.672,6.91,6.339,7.102,2.9,71.66,5.41,2.1,2.6,2.5,393.05,654.58,1675.67,3806,2146.79,2505.25,0.000630169
5/2/1996,1.2703,87.95,394.05,6.188,6.574,6.859,7.059,6.428,7.199,2.9,71.66,5.28,2.1,2.6,2.5,394.05,643.38,1673.12,3776.4,2136.8,2502.31,0.002833976
5/3/1996,1.2739,87.85,392.45,6.18,6.604,6.895,7.117,6.509,7.288,2.9,71.66,5.14,2.1,2.6,2.5,392.45,641.63,1653.2,3751.6,2115.38,2457.49,0
5/6/1996,1.2739,87.81,393.25,6.138,6.559,6.841,7.059,6.528,7.291,2.9,71.66,5.26,2.1,2.6,2.5,393.25,640.81,1655.77,3751.6,2090.42,2468.91,0.003924955
5/7/1996,1.2789,87.81,393.83,6.172,6.593,6.855,7.078,6.525,7.29,2.9,71.66,5.24,2.1,2.6,2.5,393.83,638.26,1655.23,3723,2083.74,2479.53,0.001720228
5/8/1996,1.2811,87.54,393.05,6.103,6.507,6.736,6.96,6.507,7.255,2.9,71.66,5.31,2.1,2.6,2.5,393.05,644.77,1645.41,3707.3,2083.74,2472.64,-0.00039029
5/9/1996,1.2806,87.56,392.85,6.164,6.586,6.849,7.017,6.506,7.248,2.9,71.66,5.28,2.1,2.6,2.5,392.85,645.44,1651.74,3728.3,2085.41,2469.38,-0.00437295
5/10/1996,1.275,87.92,390.65,6.044,6.473,6.747,6.928,6.458,7.218,2.9,71.66,5.2,2.1,2.6,2.5,390.65,652.09,1658.16,3754.4,2114.8,2468.78,-0.002745098
5/13/1996,1.2715,88.03,391.45,6.028,6.451,6.716,6.897,6.484,7.231,2.9,71.66,5.25,2.1,2.6,2.5,391.45,661.51,1660.23,3739.2,2100.85,2496.17,-0.001808887
5/14/1996,1.2692,88.17,391.85,5.968,6.376,6.643,6.845,6.436,7.185,2.9,71.66,5.25,2.1,2.6,2.5,391.85,665.6,1676.5,3759.7,2122.08,2519.73,0.001024267
5/15/1996,1.2705,88.25,392.7,5.985,6.391,6.643,6.845,6.433,7.189,2.9,71.66,5.47,2.1,2.6,2.5,392.7,665.42,1687.45,3776.2,2124.64,2528.75,-0.001810311
5/16/1996,1.2682,88.24,392.7,6.08,6.477,6.729,6.913,6.433,7.189,2.9,71.66,5.24,2.1,2.6,2.5,392.7,664.85,1684.09,3753.6,2124.64,2528.75,0.006387005
5/17/1996,1.2763,88.24,392.55,6.02,6.41,6.652,6.833,6.407,7.157,2.9,71.66,5.15,2.1,2.6,2.5,392.55,668.91,1678.32,3789.6,2136.91,2537.33,-0.004701089
5/20/1996,1.2703,88.34,390.85,6.011,6.406,6.647,6.837,6.405,7.172,2.9,71.66,5.21,2.1,2.6,2.5,390.85,673.15,1685.34,3778.2,2120.59,2550,-0.0040148
5/21/1996,1.2652,88.7,391.45,6.02,6.406,6.66,6.85,6.387,7.145,2.9,71.66,5.23,2.1,2.6,2.5,391.45,672.76,1691.04,3789.4,2129.71,2570.78,0.001106544
5/22/1996,1.2666,88.7,391.75,5.985,6.38,6.63,6.815,6.45,7.205,2.9,71.66,5.41,2.1,2.6,2.5,391.75,678.42,1681.22,3764.2,2103.49,2556.87,-0.00102637
5/23/1996,1.2653,88.63,391.75,6.02,6.429,6.679,6.859,6.431,7.19,2.9,71.66,5.2,2.1,2.6,2.5,391.75,676,1682.84,3747,2114.45,2560.46,-0.000316131
5/24/1996,1.2649,88.83,391,6.003,6.41,6.651,6.834,6.414,7.176,2.9,71.66,5.14,2.1,2.6,2.5,391,678.51,1678.46,3752.1,2117.65,2542.24,0
5/27/1996,1.2649,88.83,391,6.003,6.41,6.653,6.836,6.414,7.176,2.9,71.66,5.14,2.1,2.6,2.5,391,678.51,1680.44,3752.1,2117.65,2542.24,-0.003399478
5/28/1996,1.2606,89,391.5,6.021,6.436,6.672,6.855,6.421,7.181,2.9,71.66,5.33,2.1,2.6,2.5,391.5,672.23,1686.86,3760.2,2132.9,2558.3,0.001269237
5/29/1996,1.2622,88.34,391.25,6.143,6.561,6.787,6.941,6.423,7.191,2.9,71.66,5.24,2.1,2.6,2.5,391.25,667.93,1678.81,3775.7,2117.1,2551.45,0.007209634
5/30/1996,1.2713,88.25,391.05,6.186,6.573,6.793,6.932,6.495,7.259,2.9,71.66,5.34,2.1,2.6,2.5,391.05,671.7,1668.58,3746.7,2108.44,2527.31,0.003303705
5/31/1996,1.2755,87.78,391,6.237,6.631,6.852,6.989,6.496,7.286,2.9,71.83,5.31,2.02,2.6,2.5,391,669.12,1673.76,3747.8,2110.06,2542.8,0.000548804
6/3/1996,1.2762,87.96,390.55,6.263,6.642,6.867,7.008,6.513,7.284,2.9,71.83,5.44,2.02,2.6,2.5,390.55,667.68,1662.58,3739.2,2121.1,2532.83,-0.003212663
6/4/1996,1.2721,88.05,388.25,6.237,6.623,6.854,7.001,6.489,7.252,2.9,71.83,5.23,2.02,2.6,2.5,388.25,672.56,1665.87,3755.2,2111,2546.25,0.000864712
6/5/1996,1.2732,88.1,386.45,6.204,6.574,6.8,6.948,6.5,7.274,2.9,71.83,5.34,2.02,2.6,2.5,386.45,678.44,1673.71,3753.4,2115.35,2552.53,-0.00070688
6/6/1996,1.2723,88.17,386.15,6.136,6.5,6.739,6.896,6.5,7.274,2.9,71.83,5.29,2.02,2.6,2.5,386.15,673.03,1674.43,3760.3,2133.22,2552.53,-0.002279337
6/7/1996,1.2694,88.42,385.3,6.34,6.702,6.9,7.031,6.554,7.3,2.9,71.83,5.21,2.02,2.6,2.5,385.3,673.31,1666.66,3706.8,2101.99,2557.43,-0.000787774
6/10/1996,1.2684,88.4,385.9,6.402,6.793,7.004,7.127,6.545,7.285,2.9,71.83,5.28,2.02,2.6,2.5,385.9,672.16,1676.01,3728.8,2120.84,2558.81,-0.000157679
6/11/1996,1.2682,88.45,384.5,6.368,6.781,6.989,7.123,6.527,7.271,2.9,71.83,5.24,2.02,2.6,2.5,384.5,670.97,1680.02,3755.7,2137.5,2546.35,-0.000315408
6/12/1996,1.2678,88.37,384.6,6.394,6.85,7.062,7.192,6.538,7.284,2.9,71.83,5.25,2.02,2.6,2.5,384.6,669.04,1685.21,3769.2,2137.29,2568.88,0.00023663
6/13/1996,1.2681,88.11,384.6,6.317,6.766,6.997,7.129,6.605,7.354,2.9,71.83,5.27,2.02,2.6,2.5,384.6,667.92,1675.32,3761.7,2126.2,2567.47,0.007097232
6/14/1996,1.2771,88.14,384.9,6.265,6.702,6.931,7.089,6.647,7.404,2.9,71.83,5.3,2.02,2.6,2.5,384.9,665.85,1665.96,3753.6,2111.78,2548.83,0.00422833
6/17/1996,1.2825,87.84,384.95,6.231,6.672,6.898,7.071,6.659,7.406,2.9,71.83,5.47,2.02,2.6,2.5,384.95,665.16,1665.98,3761.5,2113.04,2546.12,0.001169591
6/18/1996,1.284,87.36,385.6,6.283,6.721,6.935,7.103,6.614,7.374,2.9,71.83,5.27,2.02,2.6,2.5,385.6,662.06,1672.31,3756.4,2107.94,2549.29,-0.00241433
6/19/1996,1.2809,87.66,384.5,6.31,6.733,6.951,7.108,6.637,7.391,2.9,71.83,6.25,2.02,2.6,2.5,384.5,661.96,1661.97,3753.2,2100.7,2554.29,-0.001873683
6/20/1996,1.2785,87.82,384.5,6.336,6.748,6.964,7.109,6.672,7.417,2.9,71.83,5.37,2.02,2.6,2.5,384.5,662.1,1651.82,3727.5,2077.08,2539.67,-0.0028158
6/21/1996,1.2749,88.3,385.05,6.302,6.721,6.946,7.096,6.603,7.343,2.9,71.83,5.19,2.02,2.6,2.5,385.05,666.84,1649.54,3722.3,2084.18,2540.11,-0.00156875
6/24/1996,1.2729,88.09,385.05,6.302,6.721,6.935,7.088,6.604,7.336,2.9,71.83,5.18,2.02,2.6,2.5,385.05,668.85,1658.69,3710.8,2097.63,2566.43,0.000549925
6/25/1996,1.2736,88.05,383.95,6.276,6.676,6.889,7.046,6.569,7.303,2.9,71.83,5.15,2.02,2.6,2.5,383.95,668.48,1667.28,3679.5,2118.43,2572.96,0.002041457
6/26/1996,1.2762,87.92,383.25,6.276,6.672,6.893,7.041,6.557,7.29,2.9,71.83,5.18,2.02,2.6,2.5,383.25,664.39,1667.4,3695.5,2113.28,2573.69,0.003526093
6/27/1996,1.2807,87.61,382.25,6.217,6.599,6.832,6.992,6.603,7.313,2.9,71.83,5.27,2.02,2.6,2.5,382.25,668.55,1657.51,3678.8,2112.85,2551.62,0.000156165
6/28/1996,1.2809,87.82,380.45,6.107,6.462,6.711,6.871,6.505,7.211,2.9,71.83,5,2.02,2.6,2.5,380.45,670.63,1665.9,3711,2123.7,2561.39,-0.000858771
7/1/1996,1.2798,87.78,382,6.158,6.51,6.748,6.911,6.512,7.229,2.8,71.84,7.8,2,4,2.5,382,675.88,1663.44,3725.6,2118.75,2564,-0.002109705
7/2/1996,1.2771,87.93,381.85,6.208,6.555,6.794,6.939,6.546,7.258,2.8,71.84,5.29,2,4,2.5,381.85,673.61,1662.17,3725.7,2111.8,2572.25,0.001096234
