,Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,Today_Return,Predict_Return,SMA,EMA,RSI,MACD,ROC,Bollinger_Bands_lower,Bollinger_Bands_upper,CCI
52,5/29/1980,1.4663,1.4663,1.4663,1.4663,-0.0013000000000000789,-0.0017000000000000348,1.45564,1.426798266155383,73.56488181379635,0.01223790891872234,-0.0008857999454892878,1.4300489033201074,1.4701710966798927,142.39852236245906
53,5/30/1980,1.4646,1.4646,1.4646,1.4646,-0.0017000000000000348,-0.0014999999999998348,1.45715,1.4282536272524708,74.71827535521781,0.009105850302601581,-0.0011593807542795028,1.4305141163513129,1.4719058836486874,109.54757424527395
54,6/2/1980,1.4631,1.4631,1.4631,1.4631,-0.0014999999999998348,0.0005999999999999339,1.4587600000000003,1.4299719295678839,77.29346173340109,0.007851449288822199,-0.001024170421958101,1.4312609287965325,1.473169071203468,86.04913140575957
55,6/3/1980,1.4637,1.4637,1.4637,1.4637,0.0005999999999999339,0.0032000000000000917,1.4607500000000002,1.4319575650274847,72.57876312718811,0.006903160981435841,0.0004100881689562804,1.4347516754661567,1.472948324533843,80.80393765381396
56,6/4/1980,1.4669,1.4669,1.4669,1.4669,0.0032000000000000917,-0.00020000000000020002,1.4632399999999999,1.4322725229132092,65.99131693198291,0.005133866930124631,0.0021862403497985186,1.434921151548638,1.474518848451362,93.00549786194343
57,6/5/1980,1.4667,1.4667,1.4667,1.4667,-0.00020000000000020002,0.00020000000000020002,1.46456,1.4326214060480331,74.46808510638286,0.005170445265872292,-0.00013634194559970005,1.4350002966745294,1.4758697033254706,80.88169302292263
58,6/6/1980,1.4669,1.4669,1.4669,1.4669,0.00020000000000020002,0.008499999999999952,1.46586,1.43345152771247,67.83919597989967,0.0071034673748704424,0.00013636053726065318,1.4358265674862236,1.4770534325137759,73.97454031117655
59,6/9/1980,1.4754,1.4754,1.4754,1.4754,0.008499999999999952,0.0,1.4673700000000003,1.435461873654332,61.94251734390506,0.0075173476214347446,0.005794532687981424,1.4384122037232712,1.4783877962767282,123.63636363636422
60,6/10/1980,1.4754,1.4754,1.4754,1.4754,0.0,-0.0033000000000000806,1.46766,1.4345656294299032,68.02721088435337,0.010236363496366474,0.0,1.439110641035581,1.4804493589644188,113.05732484076394
61,6/11/1980,1.4721,1.4721,1.4721,1.4721,-0.0033000000000000806,0.0013000000000000789,1.4681099999999998,1.4354557790137878,59.880239520957886,0.008957859728562445,-0.0022366815778772403,1.4405749633431415,1.4814950366568587,83.02693779545218
62,6/12/1980,1.4734,1.4734,1.4734,1.4734,0.0013000000000000789,0.007399999999999851,1.4688199999999998,1.4352119580482006,57.98319327731081,0.007500381636600828,0.0008830921812377412,1.441812644637466,1.4826473553625343,86.91592421118142
63,6/13/1980,1.4808,1.4808,1.4808,1.4808,0.007399999999999851,-0.006999999999999895,1.47044,1.4349296467925932,63.37817638265894,0.008388269393260206,0.005022397176598243,1.4427324764095089,1.4848575235904915,136.37821798058923
64,6/16/1980,1.4738,1.4738,1.4738,1.4738,-0.006999999999999895,-0.0042999999999999705,1.47151,1.4381316843250769,49.51923076923056,0.009155546048789542,-0.0047271745002700535,1.4451336725440536,1.4851363274559466,75.76287487977602
65,6/17/1980,1.4695,1.4695,1.4695,1.4695,-0.0042999999999999705,0.005199999999999871,1.4720900000000001,1.4385770790496748,48.46796657381603,0.006538314135655865,-0.002917627900664928,1.4489207885891964,1.4839192114108037,32.0699708454808
66,6/18/1980,1.4747,1.4747,1.4747,1.4747,0.005199999999999871,-0.0040999999999999925,1.4728700000000001,1.4405483908638892,43.62934362934367,0.00653121753235375,0.0035386185777474457,1.4542718980269316,1.4818381019730682,80.29483732592045
67,6/19/1980,1.4706,1.4706,1.4706,1.4706,-0.0040999999999999925,0.000400000000000178,1.47326,1.4470170836679401,48.93500819224448,0.006050863234323023,-0.0027802264867430614,1.4568279637477781,1.4809920362522218,22.915254237287968
68,6/20/1980,1.471,1.471,1.471,1.471,0.000400000000000178,0.0012999999999998568,1.4736699999999998,1.4477817012437955,37.95620437956208,0.0054973990838278475,0.0002719978240175289,1.4598219069198768,1.4797080930801236,19.548872180452907
69,6/23/1980,1.4723,1.4723,1.4723,1.4723,0.0012999999999998568,-0.0019000000000000128,1.47336,1.4498526565136194,40.025657472738764,0.005494720374883633,0.0008837525492861025,1.461376501793959,1.4793534982060408,33.90127458280119
70,6/24/1980,1.4704,1.4704,1.4704,1.4704,-0.0019000000000000128,0.00019999999999997797,1.47286,1.4515243495054133,41.9073203492276,0.006545147215567537,-0.001290497860490398,1.4613248111379782,1.479195188862022,2.5152712899714267
71,6/25/1980,1.4706,1.4706,1.4706,1.4706,0.00019999999999997797,0.0013000000000000789,1.4727099999999997,1.4498776185680866,40.138408304498014,0.006126577001509093,0.00013601741022849426,1.461558130141038,1.479261869858962,3.5523978685596966
72,6/26/1980,1.4719,1.4719,1.4719,1.4719,0.0013000000000000789,0.00039999999999995595,1.4725599999999999,1.45351487476388,27.976686094920964,0.0036272445941767373,0.0008839929280566293,1.4620235358998035,1.479356464100197,23.748773307162935
73,6/27/1980,1.4723,1.4723,1.4723,1.4723,0.00039999999999995595,0.0018000000000000238,1.47171,1.4547792131826796,29.931972789115505,0.003507913641501048,0.00027175759222770293,1.462852135535594,1.4792978644644068,25.994694960208722
74,6/30/1980,1.4741,1.4741,1.4741,1.4741,0.0018000000000000238,0.00039999999999995595,1.47174,1.4564433956699343,33.54430379746822,0.003533191560462834,0.0012225769204645953,1.4641741275678617,1.4790758724321382,58.1156442618153
75,7/1/1980,1.4745,1.4745,1.4745,1.4745,0.00039999999999995595,0.0024000000000001798,1.4722399999999998,1.4568944293395678,21.641791044776184,0.0007613995018886932,0.0002713520113967546,1.4655740137308593,1.4787559862691406,61.97743861977534
76,7/2/1980,1.4769,1.4769,1.4769,1.4769,0.0024000000000001798,-0.00020000000000020002,1.4724599999999999,1.4569483458964505,35.04273504273546,0.0011245925359542053,0.0016276703967447812,1.466232185685876,1.4790978143141242,112.56561897800782
77,7/3/1980,1.4767,1.4767,1.4767,1.4767,-0.00020000000000020002,0.0043000000000001926,1.4730699999999999,1.4608618617746592,51.485148514849044,0.00223238521487934,-0.00013541878258527997,1.4671217310170737,1.4792082689829265,97.7194194886011
78,7/4/1980,1.481,1.481,1.481,1.481,0.0043000000000001926,0.008399999999999963,1.4740699999999998,1.4625716271773048,59.504132231403325,0.0022981216465254306,0.0029118981512833973,1.4676281733442849,1.4801118266557156,192.15739118716968
79,7/7/1980,1.4894,1.4894,1.4894,1.4894,0.008399999999999963,0.0046999999999999265,1.4757799999999999,1.4639890280421148,92.30769230768533,0.003567113573993419,0.0056718433490884285,1.4653630243836535,1.4837769756163468,299.8079450116309
80,7/8/1980,1.4941,1.4941,1.4941,1.4941,0.0046999999999999265,-0.0018000000000000238,1.4781499999999999,1.4665634321286054,93.67588932805738,0.0047681207757965804,0.0031556331408620427,1.462958370970655,1.488051629029345,269.8643059284512
81,7/9/1980,1.4923,1.4923,1.4923,1.4923,-0.0018000000000000238,-0.0018000000000000238,1.4803199999999999,1.4674103502720592,76.19047619047433,0.004729056406692189,-0.0012047386386453542,1.4621124620292116,1.4909175379707884,189.0588975057672
82,7/10/1980,1.4905,1.4905,1.4905,1.4905,-0.0018000000000000238,0.00029999999999996696,1.48218,1.4680046385950303,74.3243243243233,0.005158020472944447,-0.0012061917844937505,1.4618237978914463,1.4929162021085538,136.884904086736
83,7/11/1980,1.4908,1.4908,1.4908,1.4908,0.00029999999999996696,-0.0022999999999999687,1.48403,1.4689526940123927,72.95373665480317,0.005559507535457309,0.00020127474002010532,1.4613048437978993,1.4944351562021008,121.49971809810336
84,7/14/1980,1.4885,1.4885,1.4885,1.4885,-0.0022999999999999687,-0.0032999999999998586,1.48547,1.4680956647517827,72.49774571686156,0.004392631266728841,-0.0015427958143278567,1.461530753310907,1.495679246689093,86.30803113892533
85,7/15/1980,1.4852,1.4852,1.4852,1.4852,-0.0032999999999998586,0.0024999999999999467,1.4865400000000002,1.4712694580113972,70.18239492466286,0.004330100244481105,-0.0022169969768222096,1.4626214699511257,1.4961585300488742,50.46907574704702
86,7/16/1980,1.4877,1.4877,1.4877,1.4877,0.0024999999999999467,0.005099999999999882,1.4876200000000002,1.4723061606422776,63.722397476341,0.004706729265465448,0.0016832749798006642,1.4630427766973544,1.4970372233026457,64.4726874842202
